,School,Major,Sem_year,Semester,Year,Batch,Course,Credits,Grade
14515,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,MED104,2.0,A
14516,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,A
14517,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,A-
14518,School of Engineering,ECE,Spring 2018,Spring,2018,2017,MED101,2.0,A-
14519,School of Engineering,ECE,Spring 2018,Spring,2018,2017,CCC302,1.5,A-
14520,School of Engineering,ECE,Spring 2018,Spring,2018,2017,CCC402,1.5,A-
14521,School of Engineering,ECE,Spring 2018,Spring,2018,2017,MAT104,4.0,A-
14522,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,B
14523,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,A
14524,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,CHY111,5.0,B
14525,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,CCC407,1.5,A-
14526,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,CCC415,1.5,B-
14527,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,MED104,2.0,B
14528,School of Engineering,ECE,Spring 2018,Spring,2018,2017,CCC704,4.0,A-
14529,School of Engineering,ECE,Spring 2018,Spring,2018,2017,MED101,2.0,A-
14530,School of Engineering,ECE,Spring 2018,Spring,2018,2017,MAT104,4.0,A-
14531,School of Natural Sciences,MAT,Monsoon 2017,Monsoon,2017,2017,CCC627,1.5,B
14532,School of Natural Sciences,MAT,Monsoon 2017,Monsoon,2017,2017,CCC801,1.5,B-
14533,School of Natural Sciences,MAT,Spring 2018,Spring,2018,2017,CCC704,4.0,B
14534,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,B
14535,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,A-
14536,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,CHY111,5.0,A
14537,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2017,MED104,2.0,B-
14538,School of Engineering,CHD,Spring 2018,Spring,2018,2017,CCC704,4.0,B
14539,School of Engineering,CHD,Spring 2018,Spring,2018,2017,MAT104,4.0,B
14540,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2017,CCC302,1.5,A-
14541,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,B
14542,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,A
14543,School of Engineering,CSD,Spring 2018,Spring,2018,2017,MAT104,4.0,A-
14544,School of Engineering,CSD,Spring 2018,Spring,2018,2017,CCC227,1.5,B-
14545,School of Engineering,CSD,Spring 2018,Spring,2018,2017,CCC330,1.5,B
14546,School of Engineering,CSD,Spring 2018,Spring,2018,2017,CCC821,1.5,A-
14547,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,CCC704,4.0,B
14548,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2017,MAT103,4.0,B-
