,School,Major,Sem_year,Semester,Year,Batch,Course,Credits,Grade
3335,School of Engineering,EED,Spring 2018,Spring,2018,2016,ADP101,3.0,B
3336,School of Engineering,CED,Monsoon 2017,Monsoon,2017,2016,ADP112,4.0,B
3337,School of Engineering,CED,Spring 2018,Spring,2018,2016,HIS209,3.0,A-
3338,School of Engineering,CED,Spring 2018,Spring,2018,2016,ADP110,4.0,A-
3339,School of Engineering,EED,Spring 2017,Spring,2017,2016,MED101,2.0,A
3340,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,B
3341,School of Engineering,EED,Spring 2018,Spring,2018,2016,ECO102,4.0,A-
3342,School of Engineering,EED,Spring 2018,Spring,2018,2016,MED210,2.0,A-
3343,School of Engineering,CED,Spring 2018,Spring,2018,2016,CHD262,3.0,C-
3344,School of Natural Sciences,PHY,Spring 2017,Spring,2017,2016,HIS209,3.0,B-
3345,School of Natural Sciences,PHY,Spring 2018,Spring,2018,2016,MAT160,4.0,B-
3346,School of Engineering,EED,Spring 2018,Spring,2018,2016,PHY206,4.0,B-
3347,School of Engineering,EED,Spring 2018,Spring,2018,2016,ECO101,4.0,B
3348,School of Engineering,EED,Spring 2018,Spring,2018,2016,MED210,2.0,A-
3349,School of Engineering,EED,Spring 2018,Spring,2018,2016,MED101,2.0,A-
3350,School of Engineering,EED,Spring 2018,Spring,2018,2016,PHY206,4.0,B-
3351,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2016,OHM402,3.0,A
3352,School of Engineering,ECE,Spring 2018,Spring,2018,2016,MKT401,3.0,A
3353,School of Engineering,ECE,Spring 2018,Spring,2018,2016,DOM401,3.0,A-
3354,School of Natural Sciences,MAT,Monsoon 2016,Monsoon,2016,2016,ENG104,3.0,A-
3355,School of Natural Sciences,MAT,Spring 2017,Spring,2017,2016,HIS209,3.0,A
3356,School of Natural Sciences,MAT,Monsoon 2017,Monsoon,2017,2016,HIS204,3.0,A
3357,School of Natural Sciences,MAT,Spring 2018,Spring,2018,2016,HIS208,3.0,A-
3358,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,B
3359,School of Engineering,CSD,Spring 2018,Spring,2018,2016,MAT246,4.0,B-
3360,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,SOC101,3.0,A-
3361,School of Engineering,CSD,Spring 2018,Spring,2018,2016,DOM401,3.0,B
3362,School of Engineering,CSD,Spring 2018,Spring,2018,2016,SOC221,3.0,A
3363,School of Engineering,CHD,Monsoon 2016,Monsoon,2016,2016,CHY111,5.0,C-
3364,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,C-
3365,School of Engineering,CHD,Spring 2018,Spring,2018,2016,ENG245,3.0,B
3366,School of Engineering,CHD,Spring 2018,Spring,2018,2016,MED210,2.0,C
3367,School of Natural Sciences,PHY,Spring 2017,Spring,2017,2016,IRG102,3.0,A-
3368,School of Natural Sciences,PHY,Spring 2017,Spring,2017,2016,MAT284,4.0,B
3369,School of Natural Sciences,PHY,Monsoon 2017,Monsoon,2017,2016,MAT220,4.0,B-
3370,School of Natural Sciences,PHY,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,A
3371,School of Natural Sciences,PHY,Spring 2018,Spring,2018,2016,MAT246,4.0,A-
3372,School of Natural Sciences,PHY,Spring 2018,Spring,2018,2016,IRG202,3.0,A-
3373,School of Natural Sciences,PHY,Spring 2018,Spring,2018,2016,ECO102,4.0,A-
3374,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,B-
3375,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,C-
3376,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,DES101,4.0,A-
3377,School of Engineering,MED,Spring 2018,Spring,2018,2016,DES111,4.0,A-
3378,School of Humanities & Soc Sci,ECO,Spring 2017,Spring,2017,2016,MAT110,4.0,B-
3379,School of Humanities & Soc Sci,ECO,Spring 2017,Spring,2017,2016,OHM401,3.0,A
3380,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,OHM402,3.0,A
3381,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,MAT390,4.0,B-
3382,School of Humanities & Soc Sci,ECO,Spring 2018,Spring,2018,2016,MGT102,3.0,A-
3383,School of Natural Sciences,BIO,Monsoon 2017,Monsoon,2017,2016,ENG342,4.0,A-
3384,School of Natural Sciences,BIO,Spring 2018,Spring,2018,2016,ENG244,3.0,A
3385,School of Engineering,EED,Spring 2018,Spring,2018,2016,MED210,2.0,C-
3386,School of Engineering,EED,Spring 2018,Spring,2018,2016,CED307,4.0,D
3387,School of Engineering,EED,Spring 2018,Spring,2018,2016,MED101,2.0,A-
3388,School of Natural Sciences,MAT,Monsoon 2017,Monsoon,2017,2016,ENG241,3.0,A-
3389,School of Natural Sciences,MAT,Spring 2018,Spring,2018,2016,ECO101,4.0,C
3390,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,B-
3391,School of Engineering,CSD,Spring 2018,Spring,2018,2016,MAT246,4.0,B
3392,School of Engineering,CSD,Spring 2018,Spring,2018,2016,DOM401,3.0,B
3393,School of Humanities & Soc Sci,ECO,Spring 2017,Spring,2017,2016,MAT110,4.0,C
3394,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,DOM103,3.0,B-
3395,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,ENG340,4.0,A-
3396,School of Humanities & Soc Sci,ECO,Spring 2018,Spring,2018,2016,ISM101,3.0,B-
3397,School of Humanities & Soc Sci,ECO,Spring 2018,Spring,2018,2016,ENG244,3.0,C
3398,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,B-
3399,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,B-
3400,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,C
3401,School of Engineering,MED,Spring 2018,Spring,2018,2016,HIS209,3.0,B
3402,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,B-
3403,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,C
3404,School of Engineering,MED,Spring 2018,Spring,2018,2016,MGT102,3.0,B-
3405,School of Engineering,MED,Spring 2018,Spring,2018,2016,MGT201,1.5,B-
3406,School of Humanities & Soc Sci,ECO,Spring 2017,Spring,2017,2016,MAT110,4.0,C
3407,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,DOM103,3.0,B
3408,School of Humanities & Soc Sci,ECO,Spring 2018,Spring,2018,2016,MGT102,3.0,B
3409,School of Humanities & Soc Sci,ECO,Spring 2018,Spring,2018,2016,ISM101,3.0,B-
3410,School of Natural Sciences,PHY,Spring 2017,Spring,2017,2016,HIS209,3.0,B
3411,School of Natural Sciences,PHY,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,A-
3412,School of Natural Sciences,PHY,Spring 2018,Spring,2018,2016,ECO102,4.0,A-
3413,School of Natural Sciences,PHY,Spring 2018,Spring,2018,2016,MAT284,4.0,B
3414,School of Engineering,EED,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,B-
3415,School of Engineering,ECE,Spring 2017,Spring,2017,2016,SOC114,3.0,B
3416,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2016,SOC201,3.0,B
3417,School of Engineering,ECE,Spring 2018,Spring,2018,2016,SOC103,3.0,A-
3418,School of Engineering,ECE,Spring 2018,Spring,2018,2016,IRG202,3.0,B
3419,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,B-
3420,School of Engineering,CSD,Spring 2018,Spring,2018,2016,ADP110,4.0,A-
3421,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,A-
3422,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,A-
3423,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,EED202,3.0,A-
3424,School of Engineering,MED,Spring 2018,Spring,2018,2016,DOM401,3.0,A-
3425,School of Engineering,MED,Spring 2018,Spring,2018,2016,EED203,4.0,A
3426,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,B
3427,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,B-
3428,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,EED202,3.0,C
3429,School of Engineering,MED,Spring 2018,Spring,2018,2016,MAT160,4.0,C-
3430,School of Engineering,MED,Spring 2018,Spring,2018,2016,EED203,4.0,B-
3431,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,F
3432,School of Engineering,ECE,Spring 2018,Spring,2018,2016,CED307,4.0,C
3433,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,A-
3434,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,A-
3435,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,B
3436,School of Engineering,MED,Spring 2018,Spring,2018,2016,ECO102,4.0,A-
3437,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,C
3438,School of Engineering,CSD,Spring 2018,Spring,2018,2016,MAT160,4.0,C-
3439,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,C-
3440,School of Engineering,ECE,Spring 2018,Spring,2018,2016,ECO102,4.0,A-
3441,School of Engineering,ECE,Spring 2018,Spring,2018,2016,CED307,4.0,B
3442,School of Engineering,ECE,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,A-
3443,School of Engineering,ECE,Spring 2018,Spring,2018,2016,IRG202,3.0,B-
3444,School of Engineering,ECE,Spring 2018,Spring,2018,2016,ECO102,4.0,A-
3445,School of Engineering,CED,Monsoon 2017,Monsoon,2017,2016,IRG107,3.0,B
3446,School of Engineering,CED,Spring 2018,Spring,2018,2016,IRG204,3.0,A-
3447,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,C
3448,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,C-
3449,School of Engineering,MED,Spring 2018,Spring,2018,2016,DOM401,3.0,B
3450,School of Engineering,MED,Spring 2018,Spring,2018,2016,MKT401,3.0,A-
3451,School of Natural Sciences,MAT,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,A-
3452,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,B
3453,School of Engineering,CSD,Spring 2018,Spring,2018,2016,MAT246,4.0,A
3454,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ENG443,4.0,A
3455,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,MAT160,4.0,B
3456,School of Engineering,CSD,Spring 2018,Spring,2018,2016,ENG243,3.0,A
3457,School of Engineering,CSD,Spring 2018,Spring,2018,2016,ENG245,3.0,A
3458,School of Engineering,CSD,Spring 2018,Spring,2018,2016,MAT160,4.0,B-
3459,School of Engineering,CHD,Monsoon 2016,Monsoon,2016,2016,CHY111,5.0,B
3460,School of Engineering,CHD,Monsoon 2017,Monsoon,2017,2016,BIO201,3.0,A-
3461,School of Engineering,CHD,Spring 2018,Spring,2018,2016,ECO101,4.0,B
