,School,Major,Sem_year,Semester,Year,Batch,Course,Credits,Grade
3573,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,MED201,3.0,A-
3574,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,MED211,4.0,A-
3575,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,MED208,4.0,A-
3576,School of Humanities & Soc Sci,ECO,Monsoon 2017,Monsoon,2017,2016,IRG106,3.0,A-
3577,School of Humanities & Soc Sci,ECO,Spring 2018,Spring,2018,2016,MAT230,4.0,A
3578,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,MKT202,3.0,A-
3579,School of Engineering,CSD,Spring 2018,Spring,2018,2016,OHM403,3.0,B
3580,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,D
3581,School of Engineering,CSD,Spring 2018,Spring,2018,2016,CED308,4.0,B
3582,School of Engineering,CSD,Spring 2018,Spring,2018,2016,CED307,4.0,B-
3583,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,B
3584,School of Engineering,MED,Monsoon 2016,Monsoon,2016,2016,MAT201,4.0,B
3585,School of Engineering,MED,Spring 2017,Spring,2017,2016,PHY102,5.0,C
3586,School of Engineering,MED,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,C-
3587,School of Engineering,MED,Spring 2018,Spring,2018,2016,ECO102,4.0,B
3588,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ENG443,4.0,B
3589,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,B
3590,School of Engineering,CSD,Spring 2018,Spring,2018,2016,MAT160,4.0,B
3591,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2016,ECO101,4.0,B
3592,School of Engineering,CSD,Spring 2018,Spring,2018,2016,MAT184,4.0,B-
