,School,Major,Sem1_courses,Sem1_grades,Sem2_courses,Sem2_grades,Sem3_courses,Sem3_grades,Sem4_courses,Sem4_grades,Sem5_courses,Sem5_grades,Sem6_courses,Sem6_grades,Sem7_courses,Sem7_grades,Sem8_courses,Sem8_grades,Batch,Minor
395,School of Engineering,CSD,[],[],[],[],['ECO101'],['C'],['ECO102'],['A'],"['ECO101', 'ECO203', 'ECO301']","['C-', 'B', 'A-']",['ECO221'],['A'],[],[],[],[],2015,ECO
400,School of Engineering,MED,['MAT201'],['B-'],['PHY102'],['C'],['ECO101'],['B-'],"['CED307', 'ECO102']","['B-', 'B-']",['ECO301'],['C'],"['ECO221', 'ECO327']","['B-', 'A-']",[],[],[],[],2015,ECO
401,School of Humanities & Soc Sci,ECO,[],[],['MAT260'],['B-'],['MAT390'],['C-'],['MAT388'],['A-'],['ADP112'],['A'],"['MAT386', 'CSD101']","['B', 'B-']",[],[],[],[],2015,MAT
405,School of Natural Sciences,PHY,[],[],['MAT440'],['B'],"['MAT240', 'MAT442']","['C-', 'A-']","['MAT430', 'MAT260']","['B', 'A']",['MAT232'],['A-'],[],[],[],[],[],[],2015,MAT
407,School of Engineering,CED,[],[],['ENG104'],['A-'],['SOC101'],['A'],"['SOC103', 'SOC211']","['A', 'A']","['SOC201', 'SOC204']","['A-', 'A-']",['SOC321'],['B'],[],[],[],[],2015,SOC
411,School of Natural Sciences,MAT,['ECO108'],['A-'],['ADP112'],['A-'],['ADP212'],['B'],"['ADP214', 'ADP100']","['A', 'A-']",['ADP310'],['A-'],['ADP110'],['A'],[],[],[],[],2015,ADP
412,School of Engineering,MED,['MAT201'],['B'],['PHY102'],['B'],['DES101'],['B'],['DES111'],['B'],['DES131'],['A-'],['DES121'],['A-'],[],[],[],[],2015,DES
413,School of Engineering,ECE,[],[],[],[],[],[],['COM193'],['A-'],"['OHM401', 'COM199']","['A-', 'A-']","['COM196', 'COM197']","['A-', 'A']",[],[],[],[],2015,COM
421,School of Engineering,ECE,[],[],[],[],['DES101'],['A-'],['DES111'],['B'],"['DES131', 'ADP310']","['B-', 'A-']",['DES121'],['A-'],[],[],[],[],2015,DES
423,School of Engineering,MED,['MAT201'],['A-'],['PHY102'],['A-'],['PHY207'],['A'],"['PHY202', 'PHY208']","['A', 'A-']","['PHY305', 'PHY201']","['B', 'A']","['PHY302', 'PHY306']","['A-', 'A-']",[],[],[],[],2015,PHY
