,School,Major,Batch,Sem1_courses,Sem1_grades,Sem2_courses,Sem2_grades,Sem3_courses,Sem3_grades,Sem4_courses,Sem4_grades,Sem5_courses,Sem5_grades,Sem6_courses,Sem6_grades,Sem7_courses,Sem7_grades,Sem8_courses,Sem8_grades
0,School of Engineering,EED,2012,[],[],[],[],[],[],[],[],"["" 'ENG110'""]","["" 'C'""]","[""'HIS310'"", "" 'HIS103'""]","[""'B'"", "" 'C'""]","[""'MED309'"", "" 'CED206'""]","[""'C-'"", "" 'D'""]","[""'FAC101'""]","[""'C-'""]"
1,School of Engineering,EED,2012,[],[],[],[],[],[],[],[],"[""'ENG110'""]","[""'C-'""]",[],[],"["" 'MED309'"", "" 'CED206'"", "" 'ENG213'""]","["" 'D'"", "" 'D'"", "" 'D'""]","["" 'FAC101'""]","["" 'C-'""]"
2,School of Engineering,ECE,2012,[],[],[],[],[],[],[],[],"[""'BIO201'""]","[""'A-'""]",[],[],"[""'ADP212'""]","[""'A-'""]",,
3,School of Engineering,CED,2012,[],[],[],[],[],[],[],[],"["" 'HIS210'""]","["" 'F'""]","[""'HIS102'""]","[""'D'""]",,,,
4,School of Humanities & Soc Sci,ENG,2013,[],[],[],[],[],[],"[""'SOC103'""]","[""'F'""]","[""'SOC201'"", "" 'HIS107'""]","[""'F'"", "" 'F'""]",[],[],,,,
5,School of Engineering,CSD,2013,[],[],"["" 'MED101'""]","["" 'B'""]","[""'MGT101'""]","[""'C'""]","[""'MAT140'"", "" 'MAT440'""]","[""'D'"", "" 'C'""]",[],[],"[""'DES101'""]","[""'B-'""]",,,,
6,School of Engineering,EED,2013,"[""'MED101'""]","[""'B-'""]",[],[],[],[],[],[],"[""'BIO305'""]","[""'B-'""]","["" 'ENG213'"", "" 'HIS105'""]","["" 'A-'"", "" 'B-'""]","["" 'ENG425'""]","["" 'B-'""]","["" 'OHM103'"", "" 'SOC114'"", "" 'ENG325'""]","["" 'B-'"", "" 'D'"", "" 'A-'""]"
7,School of Engineering,CSD,2013,"["" 'MED101'""]","["" 'B-'""]",[],[],"["" 'ECO101'""]","["" 'C'""]","[""'MAT140'"", "" 'ECO102'""]","[""'F'"", "" 'F'""]","["" 'MAT430'""]","["" 'B'""]",,,,,,
8,School of Engineering,EED,2014,[],[],[],[],,,,,,,,,,,,
9,School of Humanities & Soc Sci,ECO,2014,"[""'EED101'"", "" 'PHY101'"", "" 'CSD101'""]","[""'W'"", "" 'W'"", "" 'B-'""]","[""'CSD201'""]","[""'W'""]","[""'PHY101'"", "" 'EED101'""]","[""'W'"", "" 'W'""]",[],[],"["" 'ART101'""]","["" 'B'""]",[],[],"["" 'COM198'"", "" 'OHM401'""]","["" 'A-'"", "" 'B-'""]",,
10,School of Engineering,MED,2014,[],[],"[""'PHY102'""]","[""'C-'""]",[],[],"[""'SOC214'"", "" 'ART101'""]","[""'F'"", "" 'B'""]",[],[],"[""'CHD262'"", "" 'COM198'"", "" 'OHM401'""]","[""'F'"", "" 'B-'"", "" 'B'""]",,,,
11,School of Engineering,CSD,2014,"["" 'MKT101'""]","["" 'F'""]",[],[],"["" 'ENG401'"", "" 'ENG301'"", "" 'ENG104'""]","["" 'A-'"", "" 'B'"", "" 'B-'""]",[],[],"["" 'ENG443'""]","["" 'F'""]","[""'ENG444'"", "" 'MAT283'""]","[""'B-'"", "" 'F'""]",,,,
12,School of Humanities & Soc Sci,ECO,2014,"["" 'ENG110'""]","["" 'C'""]","["" 'ENG109'"", "" 'ENG411'"", "" 'MAT084'"", "" 'MKT201'""]","["" 'B'"", "" 'D'"", "" 'C-'"", "" 'D'""]",,,,,,,,,,,,
13,School of Natural Sciences,PHY,2014,[],[],"[""'MAT260'""]","[""'F'""]","[""'CED202'""]","[""'C-'""]","[""'MAT434'"", "" 'ECO101'""]","[""'B'"", "" 'F'""]",,,,,,,,
14,School of Engineering,CSD,2014,[],[],[],[],[],[],"["" 'SOC103'""]","["" 'C'""]","[""'SOC113'""]","[""'C-'""]",[],[],"["" 'MAT484'"", "" 'IRG206'""]","["" 'A-'"", "" 'B'""]","[""'MAT434'"", "" 'IRG203'""]","[""'A'"", "" 'C'""]"
15,School of Engineering,CSD,2014,[],[],[],[],[],[],"["" 'MAT280'"", "" 'ART101'""]","["" 'F'"", "" 'B-'""]","["" 'MAT430'""]","["" 'D'""]",[],[],,,,
16,School of Engineering,CSD,2014,[],[],"[""'MAT260'"", "" 'MAT284'""]","[""'B'"", "" 'B'""]","["" 'MAT386'"", "" 'MAT430'""]","["" 'B-'"", "" 'B-'""]","[""'MAT280'""]","[""'C-'""]",,,,,,,,
17,School of Engineering,CSD,2014,[],[],"[""'MAT260'""]","[""'F'""]","["" 'ENG401'""]","["" 'A-'""]","[""'ENG214'"", "" 'ENG326'"", "" 'ENG215'""]","[""'B'"", "" 'A-'"", "" 'W'""]","["" 'ENG342'"", "" 'ENG104'""]","["" 'B'"", "" 'F'""]",[],[],,,,
18,School of Humanities & Soc Sci,ENG,2014,"["" 'PHY103'"", "" 'PHY105'"", "" 'MAT101'"", "" 'CHY111'""]","["" 'D'"", "" 'F'"", "" 'C'"", "" 'D'""]","[""'PHY104'"", "" 'PHY106'"", "" 'MAT102'""]","[""'D'"", "" 'F'"", "" 'C'""]","[""'PHY201'"", "" 'PHY205'"", "" 'PHY203'"", "" 'PHY105'""]","[""'C'"", "" 'C'"", "" 'C'"", "" 'D'""]","[""'PHY202'"", "" 'PHY208'"", "" 'PHY206'"", "" 'PHY204'""]","[""'D'"", "" 'B-'"", "" 'F'"", "" 'D'""]","[""'PHY307'"", "" 'PHY303'"", "" 'PHY305'"", "" 'PHY301'""]","[""'W'"", "" 'W'"", "" 'W'"", "" 'W'""]",[],[],,,,
19,School of Engineering,CSD,2014,[],[],[],[],[],[],"["" 'MAT260'""]","["" 'B-'""]","["" 'MAT386'""]","["" 'C'""]","[""'MAT388'""]","[""'C'""]",,,,
20,School of Engineering,ECE,2014,[],[],[],[],[],[],[],[],[],[],"["" 'MAT430'""]","["" 'F'""]",,,,
21,School of Humanities & Soc Sci,SOC,2014,[],[],"[""'ENG412'""]","[""'F'""]","[""'ECO101'""]","[""'B-'""]","[""'ECO102'""]","[""'B'""]","[""'ENG430'""]","[""'W'""]","[""'ENG109'""]","[""'W'""]","["" 'ENG341'"", "" 'OHM402'"", "" 'ENG440'""]","["" 'F'"", "" 'C'"", "" 'A-'""]","[""'ENG245'"", "" 'ENG244'""]","[""'B-'"", "" 'B-'""]"
22,School of Humanities & Soc Sci,ENG,2014,"[""'MAT101'"", "" 'PHY101'"", "" 'EED101'"", "" 'CSD101'""]","[""'C-'"", "" 'B-'"", "" 'F'"", "" 'A-'""]","[""'MAT102'"", "" 'PHY102'"", "" 'CSD201'"", "" 'EED201'""]","[""'B-'"", "" 'B-'"", "" 'C'"", "" 'D'""]","[""'EED101'""]","[""'B'""]","[""'CSD207'"", "" 'CSD206'"", "" 'CSD205'"", "" 'EED206'""]","[""'C-'"", "" 'D'"", "" 'D'"", "" 'C-'""]","[""'CSD202'"", "" 'CSD204'"", "" 'CSD208'""]","[""'B-'"", "" 'C-'"", "" 'C'""]","[""'CSD304'"", "" 'CSD301'"", "" 'CSD307'""]","[""'C-'"", "" 'C-'"", "" 'B'""]","["" 'CSD323'"", "" 'CSD428'""]","["" 'F'"", "" 'B'""]",[],[]
23,School of Humanities & Soc Sci,SOC,2014,[],[],"["" 'ENG199'""]","["" 'B'""]","[""'HIS105'""]","[""'B-'""]","["" 'HIS208'""]","["" 'F'""]",[],[],"[""'ENG109'"", "" 'HIS208'""]","[""'B-'"", "" 'B-'""]","["" 'IRG208'"", "" 'HIS311'"", "" 'ENG440'""]","["" 'A'"", "" 'A'"", "" 'A'""]","[""'OHM401'"", "" 'ENG444'""]","[""'C-'"", "" 'B'""]"
24,School of Engineering,EED,2014,[],[],[],[],[],[],"[""'MAT260'""]","[""'A'""]","["" 'MAT240'""]","["" 'F'""]","[""'MAT430'"", "" 'MAT433'""]","[""'C'"", "" 'A-'""]",,,,
25,School of Engineering,CSD,2014,[],[],[],[],"["" 'OHM101'""]","["" 'B'""]","["" 'STM101'"", "" 'FAC101'""]","["" 'C-'"", "" 'B-'""]","["" 'DOM103'""]","["" 'C'""]","["" 'MEC102'""]","["" 'B'""]","[""'MED309'"", "" 'MKT202'""]","[""'C'"", "" 'B'""]","[""'OHM401'""]","[""'C-'""]"
26,School of Engineering,CSD,2014,[],[],[],[],[],[],"["" 'MAT260'""]","["" 'B'""]","[""'MED102'""]","[""'B'""]","["" 'MED211'""]","["" 'F'""]","["" 'MAT388'""]","["" 'A-'""]","[""'MED309'""]","[""'B-'""]"
27,School of Engineering,CSD,2014,"["" 'EED105'""]","["" 'C-'""]",[],[],"[""'EED105'""]","[""'A-'""]",[],[],"[""'EED202'""]","[""'B'""]","[""'MED211'"", "" 'MAT430'""]","[""'D'"", "" 'A-'""]","["" 'MAT388'""]","["" 'A-'""]","["" 'MED309'""]","["" 'B-'""]"
28,School of Engineering,ECE,2014,[],[],"["" 'ENG104'"", "" 'MAT280'""]","["" 'C'"", "" 'D'""]",,,,,,,,,,,,
29,School of Natural Sciences,PHY,2014,[],[],[],[],[],[],"[""'EED102'""]","[""'B-'""]","["" 'MAT220'""]","["" 'F'""]","[""'EED204'""]","[""'F'""]",,,,
30,School of Engineering,CED,2014,[],[],[],[],"["" 'ENG304'"", "" 'ENG110'"", "" 'MAT386'"", "" 'MAT284'"", "" 'ENG241'""]","["" 'A-'"", "" 'B'"", "" 'B'"", "" 'C'"", "" 'B-'""]",[],[],,,,,,,,
31,School of Humanities & Soc Sci,ENG,2014,"[""'EED105'"", "" 'PHY101'"", "" 'MAT101'"", "" 'CSD101'""]","[""'B'"", "" 'F'"", "" 'W'"", "" 'A'""]","[""'CSD201'"", "" 'EED101'"", "" 'MAT102'"", "" 'PHY102'""]","[""'B-'"", "" 'D'"", "" 'W'"", "" 'W'""]","[""'EED101'"", "" 'PHY101'""]","[""'B-'"", "" 'B-'""]","[""'EED201'"", "" 'MAT202'"", "" 'EED202'"", "" 'EED206'""]","[""'W'"", "" 'D'"", "" 'W'"", "" 'W'""]","[""'EED301'"", "" 'EED204'"", "" 'EED203'"", "" 'EED205'""]","[""'W'"", "" 'W'"", "" 'B'"", "" 'W'""]","[""'EED302'"", "" 'EED305'"", "" 'EED304'"", "" 'EED306'""]","[""'W'"", "" 'W'"", "" 'W'"", "" 'W'""]","["" 'SOC221'"", "" 'SOC222'""]","["" 'B'"", "" 'B'""]",,
32,School of Engineering,MED,2014,[],[],"[""'PHY102'""]","[""'B'""]",,,,,,,,,,,,
33,School of Engineering,MED,2014,[],[],"[""'PHY102'""]","[""'D'""]",[],[],[],[],"[""'MAT201'""]","[""'B'""]",[],[],"[""'ENG326'"", "" 'ENG112'"", "" 'CHD262'""]","[""'A-'"", "" 'D'"", "" 'F'""]","["" 'ADP310'""]","["" 'B'""]"
34,School of Natural Sciences,PHY,2014,[],[],[],[],"[""'CED202'""]","[""'B'""]","["" 'MAT260'""]","["" 'D'""]","["" 'SOC220'"", "" 'MAT110'"", "" 'SOC102'"", "" 'IRG101'""]","["" 'B'"", "" 'C'"", "" 'C-'"", "" 'C'""]","["" 'ENG341'"", "" 'MAT431'""]","["" 'A'"", "" 'A-'""]",[],[],,
35,School of Engineering,CSD,2014,[],[],"[""'ENG104'""]","[""'D'""]","["" 'MAT284'""]","["" 'D'""]",[],[],"["" 'DOM103'""]","["" 'D'""]",,,,,,
36,School of Engineering,MED,2014,"["" 'PHY102'""]","["" 'F'""]",,,,,,,,,,,,,,
37,School of Humanities & Soc Sci,SOC,2014,[],[],"["" 'ENG109'"", "" 'HIS208'""]","["" 'B-'"", "" 'F'""]",,,,,,,,,,,,
38,School of Engineering,ECE,2014,[],[],"[""'STM101'""]","[""'D'""]","[""'ECO108'""]","[""'B'""]","[""'HIS208'"", "" 'ENG104'""]","[""'F'"", "" 'F'""]",,,,,,,,
39,School of Engineering,MED,2015,"["" 'MAT201'""]","["" 'F'""]","[""'PHY102'""]","[""'C-'""]","["" 'MAT201'""]","["" 'D'""]","["" 'CED308'""]","["" 'C'""]","["" 'CED405'""]","["" 'B-'""]","[""'CED307'"", "" 'ECO101'""]","[""'A-'"", "" 'C-'""]",,,,
40,School of Engineering,ECE,2015,[],[],[],[],"["" 'DES101'""]","["" 'A-'""]","["" 'DES111'""]","["" 'B'""]","["" 'DES131'""]","["" 'A-'""]","[""'DES121'""]","[""'A-'""]",,,,
41,School of Natural Sciences,MAT,2015,[],[],"["" 'ADP115'""]","["" 'B'""]","[""'COM199'""]","[""'A-'""]","[""'COM193'"", "" 'COM197'"", "" 'ADP100'""]","[""'B'"", "" 'A-'"", "" 'B-'""]",,,,,,,,
42,School of Engineering,CED,2015,[],[],[],[],"["" 'ENG104'""]","["" 'B'""]","[""'ENG327'""]","[""'B'""]","["" 'ENG441'"", "" 'ENG241'""]","["" 'A'"", "" 'A-'""]",[],[],,,,
43,School of Engineering,EED,2015,[],[],[],[],[],[],"["" 'PHY206'""]","["" 'A-'""]","["" 'HIS201'""]","["" 'B-'""]","[""'HIS206'"", "" 'PHY208'""]","[""'B'"", "" 'A-'""]",,,,
44,School of Engineering,EED,2015,[],[],[],[],"[""'CSD207'""]","[""'AP'""]","["" 'MAT386'""]","["" 'A'""]","[""'MAT160'""]","[""'B'""]","["" 'MAT434'""]","["" 'A'""]",,,,
45,School of Humanities & Soc Sci,ENG,2015,[],[],"["" 'HIS102'""]","["" 'A-'""]","["" 'CSD101'""]","["" 'F'""]","["" 'HIS320'""]","["" 'F'""]",[],[],"["" 'SOC203'"", "" 'SOC321'"", "" 'HIS104'""]","["" 'D'"", "" 'D'"", "" 'F'""]",,,,
46,School of Engineering,ECE,2015,"["" 'ECO101'""]","["" 'C-'""]","["" 'ECO102'""]","["" 'A-'""]","["" 'HIS203'""]","["" 'B-'""]","[""'HIS206'"", "" 'ECO101'"", "" 'ECO221'""]","[""'B'"", "" 'B'"", "" 'B-'""]",,,,,,,,
47,School of Engineering,CSD,2015,[],[],[],[],"["" 'ECO101'""]","["" 'B-'""]",[],[],"[""'OHM401'"", "" 'MAT280'""]","[""'A-'"", "" 'C'""]",[],[],,,,
48,School of Humanities & Soc Sci,ECO,2015,[],[],[],[],[],[],"["" 'IRG101'"", "" 'COM198'""]","["" 'C'"", "" 'C'""]","[""'COM199'"", "" 'MAT390'"", "" 'COM197'""]","[""'B'"", "" 'D'"", "" 'A-'""]","[""'IRG204'"", "" 'CSD101'""]","[""'B'"", "" 'D'""]",,,,
49,School of Engineering,ECE,2015,[],[],[],[],"[""'CSD207'""]","[""'B-'""]","["" 'CED307'"", "" 'MED101'""]","["" 'B'"", "" 'B-'""]",[],[],"[""'IRG203'""]","[""'B'""]",,,,
50,School of Engineering,MED,2015,"["" 'MAT201'""]","["" 'B-'""]","[""'PHY102'""]","[""'A-'""]","["" 'PHY207'""]","["" 'A'""]","[""'PHY208'"", "" 'PHY202'""]","[""'A-'"", "" 'C-'""]","[""'PHY301'"", "" 'PHY201'""]","[""'A-'"", "" 'A'""]","[""'PHY302'""]","[""'AF'""]",,,,
51,School of Engineering,MED,2015,"[""'MAT201'""]","[""'B'""]","["" 'PHY102'""]","["" 'C-'""]","["" 'DES101'""]","["" 'A-'""]","[""'OHM203'"", "" 'DES111'""]","[""'A-'"", "" 'A-'""]","[""'DES131'"", "" 'IRG206'""]","[""'A-'"", "" 'B'""]","[""'DES121'""]","[""'A'""]",,,,
52,School of Engineering,CSD,2015,[],[],[],[],"["" 'ECO101'""]","["" 'B'""]","[""'ECO102'""]","[""'A'""]","[""'ECO203'"", "" 'ECO301'""]","[""'A'"", "" 'A-'""]","["" 'ECO221'""]","["" 'A'""]",,,,
53,School of Engineering,CED,2015,"["" 'ECO101'""]","["" 'C'""]","[""'COM193'""]","[""'B'""]","["" 'ECO301'""]","["" 'C'""]","["" 'ECO327'""]","["" 'A-'""]",,,,,,,,
54,School of Engineering,CSD,2015,[],[],[],[],"[""'BIO201'""]","[""'A'""]","["" 'BIO310'""]","["" 'A'""]","["" 'OHM401'"", "" 'BIO202'""]","["" 'A'"", "" 'B-'""]","["" 'BIO207'""]","["" 'A-'""]",,,,
55,School of Engineering,MED,2015,"[""'MAT201'""]","[""'B'""]","[""'PHY102'""]","[""'B'""]","["" 'CSD201'""]","["" 'A-'""]","[""'MAT430'""]","[""'B'""]","["" 'CHD213'""]","["" 'B-'""]","[""'ECO101'"", "" 'OHM401'""]","[""'A-'"", "" 'A-'""]",,,,
56,School of Engineering,EED,2015,[],[],[],[],[],[],"[""'MAT084'""]","[""'D'""]","[""'CED206'""]","[""'B-'""]","[""'OHM401'"", "" 'CED308'""]","[""'B'"", "" 'B'""]",,,,
57,School of Engineering,CSD,2015,[],[],[],[],"[""'ECO101'""]","[""'B-'""]","["" 'ECO102'""]","["" 'B'""]","["" 'ECO301'"", "" 'ECO354'"", "" 'ECO203'""]","["" 'B'"", "" 'B'"", "" 'C'""]",[],[],,,,
58,School of Engineering,CSD,2015,[],[],[],[],,,,,,,,,,,,
59,School of Engineering,MED,2015,"[""'MAT201'""]","[""'C-'""]","[""'PHY102'""]","[""'C'""]","["" 'ECO101'""]","["" 'D'""]","["" 'ECO102'""]","["" 'B'""]","["" 'ECO301'""]","["" 'C-'""]",,,,,,
60,School of Natural Sciences,BIO,2015,[],[],"["" 'ENG110'""]","["" 'B'""]","["" 'COM193'""]","["" 'A-'""]","["" 'COM199'""]","["" 'A-'""]","["" 'COM197'""]","["" 'A-'""]",,,,,,
61,School of Engineering,CSD,2015,[],[],[],[],"[""'ECO101'""]","[""'C-'""]","["" 'ECO102'""]","["" 'A-'""]","[""'ECO203'"", "" 'ECO301'""]","[""'B'"", "" 'B-'""]","[""'ECO221'""]","[""'A'""]",,,,
62,School of Engineering,ECE,2015,[],[],[],[],"["" 'ECO101'""]","["" 'C'""]","[""'ISM101'""]","[""'B'""]","[""'CED405'""]","[""'A-'""]","["" 'OHM401'"", "" 'CED308'""]","["" 'A-'"", "" 'A'""]",,,,
63,School of Engineering,MED,2015,"["" 'MAT201'""]","["" 'B-'""]","["" 'PHY102'""]","["" 'C'""]","[""'EED201'""]","[""'C'""]",[],[],"[""'ADP310'"", "" 'OHM401'""]","[""'A'"", "" 'B'""]","["" 'ADP110'""]","["" 'A'""]",,,,
64,School of Humanities & Soc Sci,ECO,2015,"[""'CSD101'"", "" 'MAT201'"", "" 'PHY101'"", "" 'EED102'""]","[""'A-'"", "" 'A-'"", "" 'B'"", "" 'B-'""]","["" 'PHY102'"", "" 'MAT203'"", "" 'CSD201'"", "" 'EED101'""]","["" 'A-'"", "" 'A-'"", "" 'C-'"", "" 'C'""]","["" 'EED201'"", "" 'EED202'"", "" 'MAT205'"", "" 'EED206'""]","["" 'C'"", "" 'B'"", "" 'A-'"", "" 'C'""]","["" 'EED203'"", "" 'EED301'"", "" 'EED204'"", "" 'EED205'""]","["" 'C'"", "" 'F'"", "" 'D'"", "" 'D'""]","[""'EED306'"", "" 'EED302'"", "" 'EED305'"", "" 'EED304'""]","[""'D'"", "" 'C-'"", "" 'C'"", "" 'C-'""]","["" 'IRG203'""]","["" 'B-'""]",,,,
65,School of Engineering,CED,2015,[],[],[],[],"["" 'ECO101'""]","["" 'F'""]","["" 'MED101'""]","["" 'B-'""]",[],[],"[""'ECO101'""]","[""'F'""]",,,,
66,School of Humanities & Soc Sci,ECO,2015,[],[],"["" 'CSD101'""]","["" 'B-'""]","["" 'MAT390'""]","["" 'C'""]","["" 'ENG215'"", "" 'IRG101'""]","["" 'A-'"", "" 'C-'""]","["" 'IRG106'"", "" 'MAT484'""]","["" 'B-'"", "" 'C'""]","["" 'IRG203'""]","["" 'C-'""]",,,,
67,School of Engineering,ECE,2015,[],[],[],[],[],[],"["" 'ENG216'""]","["" 'B-'""]","["" 'CED206'""]","["" 'B'""]","["" 'OHM401'"", "" 'ADP110'""]","["" 'B'"", "" 'A-'""]",,,,
68,School of Engineering,ECE,2015,[],[],[],[],"["" 'CSD207'""]","["" 'B'""]","["" 'MAT386'""]","["" 'A'""]","["" 'COM199'"", "" 'COM197'""]","["" 'A'"", "" 'A'""]","[""'MEC102'"", "" 'COM196'""]","[""'A-'"", "" 'A'""]",,,,
69,School of Engineering,CSD,2015,[],[],[],[],"[""'ECO101'""]","[""'B'""]","[""'ECO102'""]","[""'A-'""]","["" 'ECO301'"", "" 'ECO203'""]","["" 'A-'"", "" 'B'""]","[""'ECO221'""]","[""'A'""]",,,,
70,School of Natural Sciences,MAT,2015,[],[],[],[],[],[],"["" 'COM193'""]","["" 'B'""]","[""'OHM401'""]","[""'B-'""]",[],[],,,,
71,School of Engineering,EED,2015,[],[],[],[],[],[],"["" 'CED307'""]","["" 'A'""]",[],[],"[""'CED205'"", "" 'ADP100'""]","[""'A-'"", "" 'B-'""]",,,,
72,School of Engineering,ECE,2015,[],[],[],[],"["" 'ECO101'""]","["" 'B-'""]","[""'ECO102'"", "" 'ECO422'""]","[""'A-'"", "" 'A'""]","[""'ECO203'""]","[""'A-'""]","[""'ECO221'""]","[""'B'""]",,,,
73,School of Engineering,MED,2015,"[""'MAT201'""]","[""'F'""]","[""'PHY102'""]","[""'B-'""]","[""'MAT201'""]","[""'A-'""]",[],[],[],[],"[""'PHY207'"", "" 'CED405'""]","[""'A-'"", "" 'B'""]","[""'COM199'"", "" 'CED308'""]","[""'B'"", "" 'A-'""]",,
74,School of Engineering,CSD,2015,"["" 'EED102'""]","["" 'A-'""]",[],[],"["" 'MAT260'""]","["" 'C-'""]","["" 'COM198'"", "" 'ENG327'"", "" 'ENG326'""]","["" 'A'"", "" 'B'"", "" 'B'""]","[""'ADP310'"", "" 'COM199'""]","[""'A'"", "" 'A'""]","["" 'COM196'""]","["" 'A'""]",,,,
75,School of Natural Sciences,BIO,2015,"[""'ENG110'""]","[""'C'""]","["" 'ENG104'""]","["" 'B'""]","[""'ENG442'""]","[""'B'""]","["" 'ENG142'""]","["" 'C'""]",,,,,,,,
76,School of Engineering,ECE,2015,[],[],[],[],"["" 'ECO101'""]","["" 'C'""]","["" 'ECO102'"", "" 'ISM101'""]","["" 'A-'"", "" 'B'""]","["" 'ECO203'""]","["" 'B'""]","[""'MAT160'"", "" 'ECO221'""]","[""'C'"", "" 'B'""]",,,,
77,School of Engineering,CSD,2015,[],[],[],[],[],[],"["" 'EED203'""]","["" 'C'""]","["" 'EED302'""]","["" 'B-'""]","["" 'CED308'""]","["" 'B'""]",,,,
78,School of Engineering,CSD,2015,[],[],[],[],"["" 'ECO101'""]","["" 'B'""]","["" 'ECO102'""]","["" 'A'""]","["" 'ECO301'"", "" 'ECO203'""]","["" 'B'"", "" 'A-'""]","["" 'ECO221'""]","["" 'A'""]",,,,
79,School of Engineering,ECE,2015,[],[],"["" 'ADP112'""]","["" 'B'""]","[""'CSD205'""]","[""'B-'""]","["" 'CSD202'""]","["" 'C-'""]","["" 'IRG206'""]","["" 'B'""]","["" 'OHM401'""]","["" 'B'""]",,,,
80,School of Engineering,ECE,2015,[],[],[],[],[],[],"[""'MEC102'""]","[""'B'""]","["" 'CED206'""]","["" 'B-'""]","[""'COM199'"", "" 'ADP110'"", "" 'OHM401'""]","[""'B-'"", "" 'A-'"", "" 'B-'""]",,,,
81,School of Engineering,MED,2015,"[""'MAT201'""]","[""'C'""]","["" 'PHY102'""]","["" 'B-'""]","[""'ECO101'""]","[""'C-'""]","[""'ENG327'"", "" 'ENG109'""]","[""'B'"", "" 'B'""]",[],[],"["" 'ENG245'"", "" 'IRG203'""]","["" 'B'"", "" 'D'""]",,,,
82,School of Engineering,ECE,2015,[],[],[],[],"[""'OHM103'"", "" 'STM302'""]","[""'B'"", "" 'B-'""]",[],[],"["" 'OHM401'"", "" 'MKT202'""]","["" 'B-'"", "" 'A-'""]","[""'MKT401'"", "" 'MEC102'""]","[""'A-'"", "" 'B'""]",,,,
83,School of Engineering,ECE,2015,[],[],[],[],"["" 'ECO101'""]","["" 'B'""]","["" 'ECO102'""]","["" 'A-'""]","[""'ECO203'""]","[""'A'""]","["" 'ECO221'""]","["" 'A'""]",,,,
84,School of Natural Sciences,CHY,2015,"["" 'MAT201'""]","["" 'A-'""]","[""'PHY104'"", "" 'MAT203'"", "" 'BIO113'""]","[""'B'"", "" 'A-'"", "" 'A'""]","[""'PHY201'"", "" 'BIO201'""]","[""'A-'"", "" 'A'""]","["" 'PHY202'""]","["" 'A'""]","["" 'PHY305'""]","["" 'A-'""]","[""'PHY208'"", "" 'MAT084'"", "" 'PHY306'""]","[""'A-'"", "" 'A'"", "" 'A-'""]",,,,
85,School of Engineering,MED,2015,"[""'MAT201'""]","[""'C'""]","["" 'PHY102'""]","["" 'C'""]","["" 'DES101'""]","["" 'A-'""]","["" 'DES111'""]","["" 'B'""]","["" 'DES131'""]","["" 'A-'""]","[""'DES121'""]","[""'A-'""]",,,,
86,School of Engineering,MED,2015,"["" 'MAT201'""]","["" 'B'""]","[""'PHY102'""]","[""'C'""]",[],[],"["" 'MAT430'""]","["" 'C'""]","["" 'CED405'""]","["" 'B'""]","[""'ADP110'"", "" 'COM199'""]","[""'A-'"", "" 'B'""]",,,,
87,School of Engineering,EED,2015,[],[],"["" 'MAT084'""]","["" 'F'""]","["" 'ENG240'"", "" 'CED405'""]","["" 'B'"", "" 'A-'""]","["" 'CED308'""]","["" 'B-'""]",,,,,,,,
88,School of Engineering,CSD,2015,[],[],[],[],"[""'MAT260'""]","[""'B-'""]","["" 'MAT442'""]","["" 'A-'""]","[""'MAT386'"", "" 'MAT280'""]","[""'A-'"", "" 'B'""]","[""'MAT434'""]","[""'A'""]",,,,
89,School of Engineering,MED,2015,"["" 'MAT201'""]","["" 'C'""]","[""'PHY102'""]","[""'B-'""]","[""'ECO101'""]","[""'C'""]","[""'ECO102'""]","[""'A-'""]","["" 'ECO301'""]","["" 'C'""]","[""'ECO327'"", "" 'ECO221'""]","[""'A-'"", "" 'A-'""]",,,,
90,School of Engineering,MED,2015,"["" 'MAT201'""]","["" 'B'""]","["" 'PHY102'""]","["" 'C'""]","["" 'COM199'""]","["" 'A-'""]","["" 'COM193'""]","["" 'A'""]",[],[],"[""'COM196'""]","[""'A'""]",,,,
91,School of Engineering,MED,2015,"["" 'MAT201'""]","["" 'C'""]","[""'PHY102'""]","[""'C'""]",[],[],"["" 'MAT430'""]","["" 'C'""]","["" 'CED405'""]","["" 'A-'""]","[""'OHM401'"", "" 'CED308'""]","[""'B'"", "" 'A'""]",,,,
92,School of Engineering,ECE,2015,[],[],[],[],[],[],"["" 'MAT386'""]","["" 'A'""]","["" 'MAT160'""]","["" 'C'""]","["" 'MAT434'""]","["" 'A'""]",,,,
93,School of Engineering,CSD,2015,[],[],[],[],"[""'ECO101'""]","[""'C-'""]","[""'ECO102'"", "" 'SOC114'""]","[""'A-'"", "" 'A-'""]","[""'ECO203'"", "" 'IRG206'"", "" 'ECO301'""]","[""'B'"", "" 'B'"", "" 'B'""]","["" 'ECO221'""]","["" 'C-'""]",,,,
94,School of Engineering,MED,2015,"["" 'MAT201'""]","["" 'C'""]","["" 'PHY102'""]","["" 'C'""]",[],[],"[""'MAT430'"", "" 'COM193'""]","[""'B-'"", "" 'A-'""]","[""'COM199'""]","[""'A-'""]","["" 'COM196'""]","["" 'A-'""]",,,,
95,School of Engineering,CHD,2015,[],[],[],[],[],[],"["" 'ISM101'""]","["" 'C'""]","["" 'CED206'"", "" 'ECO101'""]","["" 'B-'"", "" 'C-'""]","["" 'OHM401'"", "" 'DOM401'""]","["" 'C'"", "" 'B-'""]",,,,
