,School,Major,Batch,Sem1_courses,Sem1_grades,Sem2_courses,Sem2_grades,Sem3_courses,Sem3_grades,Sem4_courses,Sem4_grades,Sem5_courses,Sem5_grades,Sem6_courses,Sem6_grades,Sem7_courses,Sem7_grades,Sem8_courses,Sem8_grades
801,School of Engineering,CSD,2016,[],[],[],[],"[""'IRG208'""]","[""'D'""]","["" 'ADP101'""]","["" 'B'""]",,,,,,,,
802,School of Engineering,ECE,2016,[],[],[],[],"["" 'CSD205'""]","["" 'A-'""]",[],[],,,,,,,,
803,School of Engineering,ECE,2016,[],[],[],[],"[""'ECO101'""]","[""'C'""]","[""'MKT401'"", "" 'ECO102'""]","[""'A'"", "" 'A-'""]",,,,,,,,
804,School of Engineering,EED,2016,[],[],[],[],"["" 'CSD205'""]","["" 'B-'""]","["" 'MAT386'""]","["" 'A'""]",,,,,,,,
805,School of Engineering,ECE,2016,[],[],[],[],[],[],"["" 'IRG203'""]","["" 'C-'""]",,,,,,,,
806,School of Engineering,ECE,2016,[],[],[],[],"["" 'ECO101'""]","["" 'B-'""]","[""'ECO102'""]","[""'A-'""]",,,,,,,,
807,School of Engineering,CSD,2016,"["" 'EED103'""]","["" 'A'""]","["" 'EED102'""]","["" 'A'""]","["" 'OHM402'"", "" 'MAT160'""]","["" 'B'"", "" 'AP'""]",[],[],,,,,,,,
808,School of Natural Sciences,PHY,2016,[],[],"[""'HIS209'""]","[""'B-'""]",,,,,,,,,,,,
809,School of Engineering,CSD,2016,[],[],[],[],"[""'MAT160'""]","[""'B-'""]","[""'DOM401'"", "" 'MAT246'""]","[""'A-'"", "" 'A-'""]",,,,,,,,
810,School of Engineering,CHD,2016,"["" 'CHY111'""]","["" 'B-'""]",[],[],"[""'BIO201'"", "" 'ENG341'""]","[""'A-'"", "" 'A-'""]","["" 'ENG245'"", "" 'BIO310'""]","["" 'B'"", "" 'B'""]",,,,,,,,
811,School of Engineering,CED,2016,[],[],[],[],"["" 'ECO101'""]","["" 'C-'""]","[""'ECO102'""]","[""'A-'""]",,,,,,,,
812,School of Engineering,CSD,2016,[],[],[],[],"["" 'HIS203'""]","["" 'C-'""]","[""'CED308'""]","[""'B'""]",,,,,,,,
813,School of Engineering,ECE,2016,[],[],[],[],"["" 'ECO101'""]","["" 'B-'""]","["" 'MED210'"", "" 'HIS209'"", "" 'ECO102'""]","["" 'B-'"", "" 'B'"", "" 'A-'""]",,,,,,,,
814,School of Engineering,ECE,2016,[],[],[],[],"["" 'ECO101'""]","["" 'B-'""]","["" 'ECO102'"", "" 'MAT160'""]","["" 'A'"", "" 'B-'""]",,,,,,,,
815,School of Engineering,ECE,2016,[],[],[],[],"["" 'DES101'""]","["" 'A'""]","[""'DES111'""]","[""'A-'""]",,,,,,,,
816,School of Engineering,ECE,2016,[],[],[],[],"["" 'ECO101'""]","["" 'C'""]","[""'ECO102'""]","[""'A-'""]",,,,,,,,
817,School of Engineering,CSD,2016,[],[],[],[],"["" 'ECO101'""]","["" 'A-'""]","["" 'CED307'""]","["" 'B-'""]",,,,,,,,
818,School of Engineering,ECE,2016,[],[],[],[],"["" 'ECO101'""]","["" 'B-'""]","[""'MED210'"", "" 'ECO102'""]","[""'B'"", "" 'A-'""]",,,,,,,,
819,School of Engineering,ECE,2016,[],[],[],[],"["" 'ECO101'""]","["" 'B'""]","["" 'ECO102'""]","["" 'A-'""]",,,,,,,,
820,School of Engineering,CSD,2016,[],[],[],[],"["" 'ECO101'""]","["" 'C-'""]","["" 'DOM401'""]","["" 'B-'""]",,,,,,,,
821,School of Engineering,CED,2016,[],[],[],[],"[""'IRG206'""]","[""'B'""]","[""'HIS209'""]","[""'B-'""]",,,,,,,,
822,School of Humanities & Soc Sci,ECO,2016,[],[],"["" 'MAT110'""]","["" 'F'""]","[""'IRG107'"", "" 'IRG106'""]","[""'A'"", "" 'A'""]","[""'MAT283'""]","[""'A'""]",,,,,,,,
823,School of Engineering,CHD,2016,"[""'CHY111'""]","[""'C'""]",[],[],"[""'ECO101'""]","[""'B'""]","["" 'IRG202'""]","["" 'B-'""]",,,,,,,,
824,School of Engineering,CSD,2016,[],[],[],[],"["" 'MAT160'""]","["" 'B-'""]",[],[],,,,,,,,
825,School of Engineering,ECE,2016,[],[],[],[],"["" 'ECO101'""]","["" 'C-'""]","[""'SOC102'"", "" 'ECO102'""]","[""'A-'"", "" 'A-'""]",,,,,,,,
826,School of Engineering,MED,2016,"["" 'MAT201'""]","["" 'B'""]","["" 'PHY102'""]","["" 'A-'""]","["" 'DES101'""]","["" 'A-'""]","["" 'DES111'""]","["" 'B'""]",,,,,,,,
827,School of Engineering,ECE,2016,[],[],[],[],"[""'ENG241'""]","[""'C'""]","[""'ADP101'""]","[""'A-'""]",,,,,,,,
828,School of Engineering,ECE,2016,[],[],[],[],"[""'ECO101'""]","[""'B-'""]","["" 'ECO102'""]","["" 'B'""]",,,,,,,,
829,School of Natural Sciences,BIO,2016,[],[],[],[],"[""'CHY213'"", "" 'CHY351'""]","[""'B-'"", "" 'A-'""]","[""'CHY352'"", "" 'HIS206'""]","[""'B-'"", "" 'A-'""]",,,,,,,,
830,School of Humanities & Soc Sci,ENG,2016,"[""'MAT260'"", "" 'MAT101'"", "" 'MAT100'""]","[""'B-'"", "" 'B-'"", "" 'B-'""]","[""'MAT110'"", "" 'MAT284'"", "" 'MAT102'"", "" 'MAT440'""]","[""'A'"", "" 'B'"", "" 'B-'"", "" 'B'""]","[""'ADP112'"", "" 'MAT280'"", "" 'MAT240'"", "" 'MAT220'""]","[""'A-'"", "" 'W'"", "" 'W'"", "" 'W'""]",[],[],,,,,,,,
831,School of Engineering,MED,2016,"[""'MAT201'""]","[""'B-'""]","["" 'PHY102'""]","["" 'B'""]","["" 'DES101'""]","["" 'A-'""]","["" 'DES111'""]","["" 'A-'""]",,,,,,,,
832,School of Engineering,CHD,2016,"["" 'CHY111'""]","["" 'B-'""]",[],[],"[""'MAT284'""]","[""'B'""]",[],[],,,,,,,,
833,School of Engineering,EED,2016,[],[],[],[],[],[],"[""'ECO101'"", "" 'PHY206'""]","[""'B-'"", "" 'C'""]",,,,,,,,
834,School of Natural Sciences,CHY,2016,[],[],"["" 'MAT102'"", "" 'PHY104'""]","["" 'D'"", "" 'B'""]","["" 'BIO201'""]","["" 'A-'""]","[""'MAT110'"", "" 'HIS209'"", "" 'BIO309'""]","[""'F'"", "" 'B-'"", "" 'B-'""]",,,,,,,,
835,School of Humanities & Soc Sci,ENG,2016,"[""'CSD101'"", "" 'PHY101'"", "" 'MAT201'"", "" 'EED103'""]","[""'C-'"", "" 'W'"", "" 'C'"", "" 'D'""]","[""'EED102'"", "" 'CSD201'"", "" 'MAT203'"", "" 'PHY102'""]","[""'C-'"", "" 'D'"", "" 'W'"", "" 'C-'""]","["" 'EED201'"", "" 'EED206'"", "" 'EED202'"", "" 'MAT205'""]","["" 'D'"", "" 'W'"", "" 'W'"", "" 'C-'""]",[],[],,,,,,,,
836,School of Natural Sciences,MAT,2016,[],[],[],[],[],[],[],[],,,,,,,,
837,School of Natural Sciences,PHY,2016,[],[],"[""'HIS201'"", "" 'HIS209'""]","[""'B'"", "" 'B'""]","[""'MAT160'"", "" 'HIS203'""]","[""'B-'"", "" 'A'""]","["" 'HIS206'""]","["" 'A'""]",,,,,,,,
838,School of Humanities & Soc Sci,ECO,2016,[],[],"["" 'SOC212'"", "" 'MAT110'""]","["" 'C-'"", "" 'B-'""]","["" 'MAT390'"", "" 'IRG206'"", "" 'ADP112'""]","["" 'C'"", "" 'C'"", "" 'B'""]","["" 'SOC222'"", "" 'SOC216'""]","["" 'A-'"", "" 'C-'""]",,,,,,,,
839,School of Natural Sciences,CHY,2016,[],[],"[""'HIS209'"", "" 'PHY104'"", "" 'MAT203'""]","[""'C'"", "" 'C-'"", "" 'C-'""]","["" 'BIO201'""]","["" 'B'""]","[""'BIO309'"", "" 'MAT110'""]","[""'C-'"", "" 'D'""]",,,,,,,,
840,School of Natural Sciences,MAT,2016,[],[],[],[],[],[],"[""'ADP101'""]","[""'B'""]",,,,,,,,
841,School of Engineering,CSD,2016,[],[],[],[],"["" 'SOC101'""]","["" 'A-'""]","[""'SOC221'"", "" 'HIS209'""]","[""'A-'"", "" 'B'""]",,,,,,,,
842,School of Natural Sciences,CHY,2016,[],[],"[""'PHY104'"", "" 'MAT102'""]","[""'A'"", "" 'A-'""]","[""'BIO201'""]","[""'A'""]","[""'BIO207'"", "" 'BIO309'""]","[""'A'"", "" 'A'""]",,,,,,,,
843,School of Natural Sciences,MAT,2016,[],[],[],[],"[""'ECO101'""]","[""'A'""]","["" 'ECO102'""]","["" 'A-'""]",,,,,,,,
844,School of Engineering,ECE,2016,[],[],[],[],"[""'CHY120'""]","[""'A'""]","[""'IRG202'"", "" 'ENG142'""]","[""'A-'"", "" 'A-'""]",,,,,,,,
845,School of Engineering,CSD,2016,[],[],[],[],"[""'SOC101'""]","[""'B'""]","[""'SOC221'""]","[""'A-'""]",,,,,,,,
